name,method1_irf,method2_irf,method3_irf,method4_irf,method1_srf,method2_srf,method3_srf,method4_srf,method1_ped,method2_ped,method3_ped,method4_ped,method1_mean,method2_mean,method3_mean,method4_mean
TRAIN001_Cirrus_043,0.8293326299129518,0.8036066497604959,0.8014685117198531,0.7748169838945828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9431108766376507,0.9345355499201653,0.933822837239951,0.9249389946315275
TRAIN001_Cirrus_044,0.759377211606511,0.7889408099688473,0.8052959501557633,0.8065810593900482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197924038688369,0.9296469366562824,0.935098650051921,0.9355270197966826
TRAIN001_Cirrus_045,0.7094866971244289,0.7825567502986858,0.7848699763593381,0.7729984301412873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9031622323748096,0.9275189167662287,0.9282899921197793,0.9243328100470958
TRAIN001_Cirrus_046,0.8659585230146687,0.8170462894930198,0.8222792231586662,0.7398293312165112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9553195076715563,0.9390154298310066,0.9407597410528887,0.9132764437388371
TRAIN001_Cirrus_047,0.7994275199345737,0.8065994500458296,0.821508255243195,0.797427652733119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9331425066448579,0.9355331500152765,0.9405027517477317,0.932475884244373
TRAIN001_Cirrus_048,0.8378877400295421,0.8004246284501062,0.8277521556045719,0.7435897435897436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9459625800098473,0.9334748761500354,0.9425840518681907,0.9145299145299145
TRAIN001_Cirrus_049,0.7470323372902169,0.7495247148288974,0.7298262318495596,0.6838541666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9156774457634057,0.9165082382762991,0.9099420772831865,0.8946180555555555
TRAIN001_Cirrus_050,0.7018852289206546,0.6900386847195358,0.699502487562189,0.6149221098660836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9006284096402183,0.8966795615731785,0.8998341625207297,0.8716407032886946
TRAIN001_Cirrus_051,0.6830015313935681,0.7149046793760832,0.6761020881670534,0.6317969963749352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8943338437978561,0.9049682264586943,0.8920340293890178,0.8772656654583116
TRAIN001_Cirrus_052,0.7668851524650898,0.7661847894406034,0.6779485408392333,0.7009296614629013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9222950508216966,0.9220615964802011,0.8926495136130778,0.9003098871543004
TRAIN001_Cirrus_053,0.8101736972704715,0.8029255319148936,0.8050917054475774,0.8076185256234585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9367245657568238,0.9343085106382979,0.9350305684825257,0.935872841874486
TRAIN001_Cirrus_054,0.8649147072383587,0.8660714285714286,0.8582328328821068,0.833028481839561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9549715690794529,0.9553571428571429,0.952744277627369,0.9443428272798536
TRAIN001_Cirrus_055,0.8131287470785489,0.8373007206813715,0.8326548575200792,0.8245257452574526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9377095823595164,0.9457669068937905,0.9442182858400264,0.9415085817524842
TRAIN001_Cirrus_056,0.8321103931661373,0.8697376093294461,0.8802596499362466,0.8781793842034806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9440367977220457,0.9565792031098154,0.9600865499787489,0.959393128067827
TRAIN001_Cirrus_057,0.8542009884678748,0.8424081451969898,0.8356491532783326,0.8326228404756563,0.1986754966887417,0.0,0.0,0.174496644295302,1.0,1.0,1.0,1.0,0.6842921617188722,0.6141360483989966,0.6118830510927775,0.6690398282569862
TRAIN001_Cirrus_058,0.8943371664135388,0.8865082022095748,0.881455531698497,0.8607831677381648,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6314457221378462,0.6288360674031916,0.6271518438994991,0.6202610559127216
TRAIN001_Cirrus_059,0.851467470148421,0.8367040332832544,0.8378534333525678,0.7898808792828196,0.07222222222222222,0.0,0.8892307692307693,0.825503355704698,1.0,1.0,1.0,1.0,0.641229897456881,0.6122346777610849,0.9090280675277791,0.8717947449958392
TRAIN001_Cirrus_060,0.8398823843892007,0.8490075290896646,0.8537527593818984,0.8229441030143401,0.0,0.0,0.43651925820256776,0.0,1.0,1.0,1.0,1.0,0.6132941281297336,0.6163358430298882,0.7634240058614887,0.6076480343381133
TRAIN001_Cirrus_061,0.8075736325385694,0.8334558283110393,0.8398683029033224,0.9054551271796513,0.28622540250447226,0.008316008316008316,0.8236686390532545,0.31338028169014087,1.0,1.0,1.0,1.0,0.6979330116810138,0.6139239455423492,0.887845647318859,0.7396118029565973
TRAIN001_Cirrus_062,0.847682119205298,0.8668971477960242,0.8805122980643283,0.9057704112952731,0.6690391459074733,0.22327790973871733,0.8414814814814815,0.8437956204379562,1.0,1.0,1.0,1.0,0.8389070883709238,0.6967250191782473,0.9073312598486032,0.9165220105777431
TRAIN001_Cirrus_063,0.8540399652476107,0.8721049629207074,0.8848301535597952,0.8632115548003398,0.24479166666666666,0.0,0.4066193853427896,0.315,1.0,1.0,1.0,1.0,0.6996105439714259,0.6240349876402358,0.7638165129675283,0.72607051826678
TRAIN001_Cirrus_064,0.8901185770750988,0.8852730852938129,0.8895705521472392,0.8886762360446571,0.5225225225225225,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8042136998658739,0.6284243617646043,0.6298568507157464,0.629558745348219
TRAIN001_Cirrus_065,0.8644658601599344,0.8661248930710008,0.8713737201365188,0.8449115044247788,0.07228915662650602,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6455850055954802,0.6220416310236669,0.6237912400455062,0.6149705014749263
TRAIN001_Cirrus_066,0.8358040058843499,0.8524394608135513,0.8610842207163601,0.8215789473684211,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6119346686281166,0.6174798202711838,0.6203614069054534,0.6071929824561404
TRAIN001_Cirrus_067,0.7671109779841246,0.7769877181641888,0.7816397804756361,0.8167393199651264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9223703259947081,0.9256625727213962,0.9272132601585454,0.9389131066550421
TRAIN001_Cirrus_068,0.8405628898882924,0.8603030303030303,0.8544644229291533,0.8001988071570576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9468542966294308,0.9534343434343434,0.9514881409763843,0.9333996023856859
TRAIN001_Cirrus_069,0.799338022341746,0.8264661654135338,0.8248469463939078,0.7989284588717303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9331126741139153,0.942155388471178,0.9416156487979692,0.9329761529572433
TRAIN001_Cirrus_070,0.6684104627766599,0.6920415224913494,0.7049421661409043,0.6827033218785796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8894701542588866,0.8973471741637832,0.9016473887136348,0.8942344406261933
TRAIN001_Cirrus_071,0.624633431085044,0.6680841011103237,0.6643340331233963,0.7428725121032813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8748778103616813,0.8893613670367745,0.8881113443744654,0.9142908373677604
TRAIN001_Cirrus_072,0.746524064171123,0.7062825130052021,0.7160048134777377,0.6938409854423292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9155080213903743,0.9020941710017341,0.9053349378259125,0.8979469951474431
TRAIN001_Cirrus_073,0.7106325706594886,0.686524141244295,0.708563204605421,0.6796966161026837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9035441902198295,0.8955080470814316,0.9028544015351403,0.8932322053675613
TRAIN001_Cirrus_074,0.7210574293527803,0.7147030185004869,0.7168560606060606,0.6698463169051404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9070191431175934,0.904901006166829,0.9056186868686869,0.8899487723017135
TRAIN001_Cirrus_075,0.8306697108066972,0.8102868447082097,0.8332698896079178,0.7700957934194086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9435565702688992,0.9367622815694032,0.9444232965359726,0.9233652644731363
TRAIN001_Cirrus_076,0.7966601178781926,0.804241013705715,0.8144382308083375,0.7431527693244065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9322200392927309,0.9347470045685716,0.9381460769361126,0.9143842564414689
TRAIN001_Cirrus_077,0.6925157799819658,0.722930978083088,0.7044684129429892,0.7553846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8975052599939887,0.9076436593610294,0.9014894709809965,0.9184615384615386
TRAIN001_Cirrus_078,0.6291946308724832,0.6532438478747203,0.6506453048509123,0.6262104583602324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8763982102908278,0.8844146159582401,0.8835484349503041,0.8754034861200775
